iter	Passed	Remaining
482	592	634
483	594	633
484	595	632
485	596	630
486	597	629
487	598	628
488	599	626
489	601	625
490	601	623
491	602	622
492	603	620
493	604	618
494	605	617
495	605	615
496	606	613
497	607	612
498	608	610
499	609	609
500	610	608
501	611	606
502	612	605
503	613	604
504	614	602
505	615	601
506	616	599
507	617	598
508	618	596
509	619	594
510	620	593
511	620	591
512	621	590
513	622	588
514	623	587
515	624	585
516	625	584
517	626	583
518	627	581
519	628	580
520	629	578
521	630	577
522	631	575
523	632	574
524	633	572
525	634	571
526	634	569
527	635	568
528	636	566
529	637	565
530	638	563
531	639	562
532	640	560
533	641	559
534	642	558
535	643	556
536	644	555
537	645	554
538	645	552
539	647	551
540	647	549
541	648	548
542	649	546
543	650	545
544	651	543
545	652	542
546	653	541
547	654	540
548	655	538
549	657	537
550	658	536
551	659	535
552	660	533
553	661	532
554	662	530
555	662	529
556	663	527
557	664	526
558	665	524
559	666	523
560	667	522
561	668	520
562	669	519
563	669	517
564	670	516
565	671	514
566	672	513
567	673	512
568	674	510
569	675	509
570	675	507
571	676	506
572	677	504
573	678	503
574	679	502
575	680	500
576	680	499
577	681	497
578	682	496
579	683	495
580	684	493
581	685	492
582	686	490
583	687	489
584	688	488
585	688	486
586	689	485
587	690	483
588	691	482
589	692	480
590	693	479
591	693	478
592	694	476
593	695	475
594	696	474
595	697	473
596	699	471
597	699	470
598	700	469
599	701	467
600	702	466
601	703	465
602	704	463
603	705	462
604	706	460
605	706	459
606	707	458
607	708	456
608	709	455
609	710	453
610	710	452
611	711	451
612	712	449
613	713	448
614	714	447
615	715	445
616	716	444
617	717	443
618	718	442
619	719	440
620	720	439
621	721	438
622	722	437
623	723	435
624	724	434
625	725	433
626	725	431
627	726	430
628	728	429
629	729	428
630	730	426
631	731	425
632	732	424
633	733	423
634	734	422
635	735	420
636	736	419
637	737	418
638	738	417
639	738	415
640	739	414
641	740	412
642	741	411
643	742	410
644	743	409
645	744	407
646	745	406
647	746	405
648	747	404
649	748	402
650	749	401
651	749	400
652	750	398
653	751	397
654	752	396
655	753	395
656	754	393
657	755	392
658	756	391
659	757	390
660	758	389
661	759	387
662	760	386
663	761	385
664	762	384
665	763	382
666	764	381
667	765	380
668	766	379
669	767	377
670	768	376
671	768	375
672	769	374
673	770	372
674	771	371
675	772	370
676	773	369
677	775	368
678	776	366
679	777	365
680	777	364
681	778	363
682	779	361
683	781	360
684	782	359
685	783	358
686	784	357
687	785	356
688	786	354
689	787	353
690	788	352
691	789	351
692	790	350
693	791	349
694	792	347
695	793	346
696	794	345
697	795	344
698	796	342
699	796	341
700	797	340
701	798	339
702	799	337
703	800	336
704	801	335
705	802	334
706	804	333
707	805	332
708	806	330
709	806	329
710	807	328
711	808	327
712	809	325
713	810	324
714	811	323
715	812	322
716	813	321
717	815	320
718	816	319
719	817	318
720	819	316
721	820	315
722	821	314
723	822	313
724	823	312
725	824	311
726	825	309
727	826	308
728	827	307
729	828	306
730	829	305
731	830	304
732	831	302
733	832	301
734	833	300
735	834	299
736	835	298
737	836	297
738	837	295
739	838	294
740	839	293
741	840	292
742	841	291
743	842	289
744	843	288
745	844	287
746	846	286
747	847	285
748	848	284
749	849	283
750	850	281
751	851	280
752	852	279
753	853	278
754	854	277
755	854	275
756	855	274
757	856	273
758	857	272
759	859	271
760	860	270
761	861	269
762	862	268
763	864	266
764	865	265
765	866	264
766	867	263
767	868	262
768	869	261
769	870	259
770	870	258
771	871	257
772	872	256
773	873	255
774	874	253
775	875	252
776	876	251
777	877	250
778	878	249
779	879	248
780	880	246
781	881	245
782	882	244
783	883	243
784	884	242
785	885	241
786	886	239
787	887	238
788	888	237
789	889	236
790	890	235
791	891	234
792	892	232
793	893	231
794	894	230
795	895	229
796	896	228
797	897	227
798	898	225
799	899	224
800	899	223
801	900	222
802	901	221
803	903	220
804	904	219
805	904	217
806	905	216
807	906	215
808	907	214
809	908	213
810	909	211
811	910	210
812	911	209
813	912	208
814	913	207
815	914	206
816	915	205
817	916	203
818	917	202
819	918	201
820	919	200
821	921	199
822	922	198
823	923	197
824	924	196
825	924	194
826	926	193
827	927	192
828	927	191
829	928	190
830	929	189
831	930	187
832	931	186
833	932	185
834	934	184
835	936	183
836	937	182
837	938	181
838	939	180
839	940	179
840	941	177
841	942	176
842	943	175
843	944	174
844	945	173
845	946	172
846	948	171
847	949	170
848	950	169
849	951	167
850	952	166
851	953	165
852	954	164
853	955	163
854	956	162
855	957	160
856	957	159
857	958	158
858	960	157
859	961	156
860	962	155
861	963	154
862	964	153
863	965	151
864	965	150
865	966	149
866	967	148
867	969	147
868	970	146
869	971	145
870	972	144
871	973	142
872	974	141
873	975	140
874	976	139
875	977	138
876	978	137
877	979	136
878	980	134
879	981	133
880	982	132
881	983	131
882	983	130
883	984	129
884	985	128
885	986	126
886	987	125
887	988	124
888	989	123
889	990	122
890	991	121
891	992	120
892	993	119
893	994	117
894	995	116
895	996	115
896	997	114
897	998	113
898	999	112
899	1000	111
900	1000	109
901	1001	108
902	1002	107
903	1003	106
904	1004	105
905	1006	104
906	1007	103
907	1008	102
908	1009	101
909	1010	99
910	1011	98
911	1012	97
912	1013	96
913	1014	95
914	1015	94
915	1016	93
916	1017	92
917	1018	90
918	1019	89
919	1020	88
920	1021	87
921	1022	86
922	1023	85
923	1024	84
924	1024	83
925	1025	81
926	1026	80
927	1027	79
928	1028	78
929	1029	77
930	1030	76
931	1031	75
932	1032	74
933	1033	73
934	1034	71
935	1035	70
936	1036	69
937	1037	68
938	1038	67
939	1039	66
940	1039	65
941	1040	64
942	1041	62
943	1042	61
944	1043	60
945	1044	59
946	1045	58
947	1046	57
948	1047	56
949	1048	55
950	1049	54
951	1050	52
952	1051	51
953	1052	50
954	1054	49
955	1055	48
956	1055	47
957	1056	46
958	1057	45
959	1058	44
960	1059	43
961	1060	41
962	1061	40
963	1062	39
964	1063	38
965	1064	37
966	1065	36
967	1066	35
968	1067	34
969	1067	33
970	1068	31
971	1069	30
972	1070	29
973	1071	28
974	1071	27
975	1072	26
976	1073	25
977	1074	24
978	1075	23
979	1076	21
980	1076	20
981	1077	19
982	1078	18
983	1079	17
984	1080	16
985	1081	15
986	1082	14
987	1083	13
988	1084	12
989	1084	10
990	1085	9
991	1086	8
992	1087	7
993	1088	6
994	1089	5
995	1089	4
996	1090	3
997	1091	2
998	1092	1
999	1093	0
